Jan 16, weeks
1,Class setup
,[Proj---indv. part 1](project_individual.html#part-1-initial-paper-exploration)
,[Team formation](team_formation.html)
,[Proj---indv. part 2](project_individual.html#part-2-paper-choice-and-summarization)
,[Proj proposal](project_group.html#project-proposal-and-presentation)
,[Updated proj proposal](project_group.html#updated-proposal)
,[Assignment 1](assignment1.html)
,[Proj check-in 1](project_group.html#mid-project-check-ins)
,[Assignment 2](assignment2.html)
,[Proj check-in 2](project_group.html#mid-project-check-ins)
,[Assignment 3](assignment3.html)
,[Proj due](project_group.html#final-paper)


Jan 23 | Class setup
Jan 25 | [Proj---indv. part 1](project_individual.html#part-1-initial-paper-exploration)
Jan 30 | [Team formation](team_formation.html)
Feb 1  | [Proj---indv. part 2](project_individual.html#part-2-paper-choice-and-summarization)
Feb 8  | [Proj proposal](project_group.html#project-proposal-and-presentation)
Feb 13 | [Updated proj proposal](project_group.html#updated-proposal)
Feb 28 | [Assignment 1](assignment1.html)
Mar 9  | [Proj check-in 1](project_group.html#mid-project-check-ins)
Mar 28 | [Assignment 2](assignment2.html)
Apr 18 | [Proj check-in 2](project_group.html#mid-project-check-ins)
Apr 25 | [Assignment 3](assignment3.html)
May 16 | [Proj due](project_group.html#final-paper)
